"Link","Type","Title","Description","By","Country","Rating","Categories","Colors"
"https://www.awwwards.com/sites/everyday-robots","Nominees","Everyday Robots","Take me to the club",NA,"United Kingdom",NA,"Business & Corporate,Technology,Clean,Typography,Responsive,Storytelling,Contentful,React,GraphQL,Next.js,Locomotive Scroll,Typescript,Contentful",""
"https://www.awwwards.com/sites/stord","Nominees","Stord","GIB20",NA,"United States",NA,"Business & Corporate,Technology,Animation,Scrolling,3D,Contentful,Three.js,React,Vercel,Next.js,Cinema 4D,Blender",""
"https://www.awwwards.com/sites/gazelle-no1","Nominees","Gazelle Nº1","Quonota",NA,"Netherlands",NA,"E-Commerce,Web & Interactive,Animation,Scrolling,Single page,Transitions,Storytelling,Photo & Video,HTML5,jQuery,SVG,GSAP Animation,Bootstrap,Javascript",""
"https://www.awwwards.com/sites/eqtventures","Nominees","EQT Ventures","Flayks – Portfolio 2021",NA,"France",NA,"Business & Corporate,Technology,Clean,Portfolio,WebGL,Sanity",""
"https://www.awwwards.com/sites/sagmeister-walsh","Nominees","Sagmeister  & Walsh","AZ Studio",NA,"Ukraine",NA,"Art & Illustration,Culture & Education,Design Agencies,Animation,Colorful,Portfolio,Typography,Project Page,Contentful,Figma,Tilda",""
"https://www.awwwards.com/sites/corvette-care","Nominees","Corvette Care","Pedro Carrilho Arquitectos",NA,"United Kingdom",NA,"Other,Animation,Big Background Images,Transitions,Filters and Effects,Interaction Design,UI design,Wordpress,CSS,HTML5,Google Font API,Javascript",""
"https://www.awwwards.com/sites/healthline-transform","Nominees","Healthline Transform","Climate History",NA,"United States",NA,"Art & Illustration,Magazine / Newspaper / Blog,Culture & Education,Animation,Photography,Illustration,Storytelling,Header Design,Lottie,Webflow,Javascript",""
"https://www.awwwards.com/sites/se-art-studio","Nominees","SE Art Studio","Neri Oxman: Material Ecology",NA,"Belgium",NA,"Art & Illustration,Web & Interactive,Experimental,Animation,Parallax,Portfolio,Scrolling,Web Fonts,Interaction Design,GSAP Animation,PHP,Typekit,Javascript,Figma,Sass",""
"https://www.awwwards.com/sites/lokoto","Nominees","Lokoto","The all-new INFINITI QX55",NA,"Russia",NA,"E-Commerce,Fashion,Experimental,Animation,Big Background Images,Graphic design,Photography,Illustration,Contentful",""
"https://www.awwwards.com/sites/corthay","Nominees","Corthay","Nordy Portrait",NA,"France",NA,"E-Commerce,Fashion,Animation,Gallery,Storytelling,Filters and Effects,UI design,Prestashop",""
"https://www.awwwards.com/sites/your-profile-your-home-by-fb","Nominees","Your Profile, Your Home by FB","The Avener - Beautiful",NA,"Germany",NA,"Promotional,Technology,Web & Interactive,Animation,Transitions,Responsive,Storytelling,3D,Interaction Design,CSS,WebGL,Three.js,Svelte,Figma",""
"https://www.awwwards.com/sites/max-grillo-tech-house","Nominees","Max Grillo","Myers + Chang",NA,"Italy",NA,"Music & Sound,Big Background Images,Clean,Minimal,Typography,Responsive,Wordpress,Anime.js",""
"https://www.awwwards.com/sites/performatives-haus","Nominees","performatives Haus","Weeeze",NA,"Switzerland",NA,"Architecture,Real Estate,Big Background Images,Clean,Colorful,Fullscreen,Graphic design,Responsive,Wordpress,CSS,HTML5,Anime.js,Vanilla JS,Sass",""
"https://www.awwwards.com/sites/themezaa","Nominees","ThemeZaa","Doddle",NA,"India",NA,"Business & Corporate,Design Agencies,Web & Interactive,Clean,Infinite Scroll,Parallax,Portfolio,Responsive Design,SEO,Wordpress,CSS,HTML5,jQuery,Bootstrap,WooCommerce",""
"https://www.awwwards.com/sites/appkong-1","Nominees","AppKong","AppKong",NA,"United States",NA,"Technology,Web & Interactive,Colorful,Responsive Design,SEO,Responsive,Wordpress,Laravel",""
"https://www.awwwards.com/sites/pixel-pro-avionaut","Nominees","Pixel PRO Avionaut","Bugatti Smartwatches",NA,"Poland",NA,"Promotional,Technology,Web & Interactive,Animation,Colorful,Fullscreen,Minimal,Parallax,Scrolling,CSS,HTML5,GSAP Animation,Three.js,PixiJS,Gatsby",""
"https://www.awwwards.com/sites/d-wave-quantum-computing","Nominees","D-Wave Quantum Computing","TuSimple - Better Path Forward",NA,"United States",NA,"Business & Corporate,Technology,Big Background Images,Graphic design,Responsive Design,Copy design,Bootstrap,Sketch,Adobe XD",""
"https://www.awwwards.com/sites/hard-work-club","Nominees","Hard Work Club","25th - Save a Child’s Heart",NA,"Canada",NA,"Design Agencies,Animation,Colorful,Scrolling,Single page,Responsive,Storytelling,Webflow,Figma",""
"https://www.awwwards.com/sites/the-swell-gallery-by-ripple","Nominees","The Swell Gallery by Ripple","Mercedes-Benz EQC",NA,"France",NA,"Art & Illustration,Business & Corporate,Technology,Transitions,3D,GSAP Animation,Three.js,React",""
"https://www.awwwards.com/sites/advent-calendar-site","Nominees","Advent calendar","AZ Design Course",NA,"Ukraine",NA,"Art & Illustration,Culture & Education,Events,Minimal,Illustration,Social Integration,UI design,Figma,Tilda,Adobe Illustrator",""
"https://www.awwwards.com/sites/3d-charts","Nominees","3D Charts","Baps Patil • Designer • Artist",NA,"Russia",NA,"E-Commerce,Promotional,Web & Interactive,Parallax,Data Visualization,Illustration,3D,UI design,Microinteractions,Figma,Blender",""
"https://www.awwwards.com/sites/herbertus","Nominees","Herbertus","Definite",NA,"Lithuania",NA,"Design Agencies,Web & Interactive,Big Background Images,Clean,Flat Design,Minimal,Portfolio,Responsive,Wordpress,CSS,HTML5,Bootstrap,Figma",""
"https://www.awwwards.com/sites/monotonomo","Nominees","Monotonomo","Luca Volino - Portfolio",NA,"Australia",NA,"Design Agencies,Web & Interactive,Clean,Minimal,Responsive Design,Responsive,Interaction Design,Microinteractions,Webflow,Adobe XD",""
"https://www.awwwards.com/sites/the-holidays-carousel","Nominees","The Holidays Carousel","High Mountains",NA,"Italy",NA,"Fashion,Web & Interactive,Experimental,Unusual Navigation,Animation,360,Fullscreen,3D,Gestures / Interaction,Blender,Wordpress,jQuery",""
