"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Mimi59090102: Axie Infinity<U+59CB><U+3081><U+305F><U+3044><U+306E><U+306B>

<U+3042><U+3068>Coincheck<U+306E>Mac<U+7248><U+3067><U+30ED><U+30B0><U+30A4><U+30F3><U+3057><U+305F><U+3044><U+306E><U+306B>Apple<U+3067><U+30ED><U+30B0><U+30A4><U+30F3><U+51FA><U+6765><U+306A><U+3044><U+3093><U+3060><U+3051><U+3069><U+306A><U+3093><U+3067><U+30FC>!",FALSE,0,NA,2021-12-27 11:43:16,FALSE,NA,"1475432087155257347",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mimi59090102",1,TRUE,FALSE,NA,NA
"@RTgiveaway69 I don't have any scholarship but I have so many knowledge about axie infinity by watching videos in y… https://t.co/6phZgOgDPK",FALSE,1,"RTgiveaway69",2021-12-27 11:43:12,TRUE,"1475087194276896771","1475432072046989312","1309470683966001154","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shibainuarmy87",0,FALSE,FALSE,NA,NA
"@BSClaunchorg @DefendersRise Currently, there are many NFT  games on the market, Axie Infinity &amp; Plant vs Undead be… https://t.co/8UBM6hGhkU",FALSE,0,"BSClaunchorg",2021-12-27 11:41:52,TRUE,"1474754178400407552","1475431733302423552","1368509175769092096","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","princes14125633",0,FALSE,FALSE,NA,NA
"RT @gocholive: SORTEO FIN DE AÑO CON GOCHO Y AXIE INFINITY
 10 $AXS <U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384>

PARA PARTICIPAR: 
<U+2705>SEGUIRME 
<U+2705>SEGUIR @AxieInfini…",FALSE,0,NA,2021-12-27 11:41:34,FALSE,NA,"1475431659763900426",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SHINIGAMI_1021",1037,TRUE,FALSE,NA,NA
"@TGAxies good day manager I'm looking for scholarship program!
name:Arnold Ortega
age:22
gender:male
nationality: F… https://t.co/umcyudIgri",FALSE,0,"TGAxies",2021-12-27 11:41:23,TRUE,"1475431154618560514","1475431613974847495","1112200380044075009","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ArnoldO22091932",0,FALSE,FALSE,NA,NA
"@BrightGuild Hellow sir/ma'am I am looking for scholarship I have knowledge about playing Axie Infinity and also I… https://t.co/4uzxp2IYhp",FALSE,1,"BrightGuild",2021-12-27 11:40:59,TRUE,"1475419448798416896","1475431511390244864","1475356037184032771","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","imperialarnie2",0,FALSE,FALSE,NA,NA
"RT @Hey_Hedgehog: 2500 MMR - Playtesting different scholarship teams, three positions open. Arena PVP and Scrimming, to chill vibes.

If yo…",FALSE,0,NA,2021-12-27 11:40:38,FALSE,NA,"1475431425482838019",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mae_casido",3,TRUE,FALSE,NA,NA
"Axie Infinity
$AXS
Price IDR: Rp 1,556,516
Price USD: US$109.35
High USD: US$ 109.46
Low USD: US$ 106.07
Change 1 H… https://t.co/GfQ5pMZWZd",FALSE,0,NA,2021-12-27 11:40:10,TRUE,NA,"1475431307102482434",NA,"<a href=""https://help.twitter.com/id/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Diegofess</a>","GetCuan",0,FALSE,FALSE,NA,NA
"RT @nixeniego: Axie Infinity had the craziest growth back in July of this year.

We saw $SLP hitting an all-time high of $0.40 usd (P20 php…",FALSE,0,NA,2021-12-27 11:39:52,FALSE,NA,"1475431233538916354",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","pepepupu_a8",154,TRUE,FALSE,NA,NA
"@Orbit_Chain @RippleXDev Here's some information that will surprise you.
It is a cryptocurrency like AXIE Infinity(… https://t.co/HUnakjYCXs",FALSE,0,"Orbit_Chain",2021-12-27 11:38:14,TRUE,"1475429093768572935","1475430822140608512","1135437024578625537","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wise2kwikwi",0,FALSE,FALSE,NA,NA
"@BSClaunchorg @DefendersRise Currently, there are many NFT  games on the market, Axie Infinity &amp; Plant vs Undead be… https://t.co/1c61HbkTUM",FALSE,0,"BSClaunchorg",2021-12-27 11:37:26,TRUE,"1475142001041416193","1475430618292887556","1368509175769092096","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","princes14125633",0,FALSE,FALSE,NA,NA
"RT @BAYZgg: O Natal passou... Mas o Calendário de Adventos ainda não acabou!<U+0001F60B>

Sorteio de CINCO escolinhas de @AxieInfinity! 

Vem fazer pa…",FALSE,0,NA,2021-12-27 11:35:58,FALSE,NA,"1475430248573407232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sandroms80",216,TRUE,FALSE,NA,NA
