"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @gocholive: SORTEO FIN DE AÑO CON GOCHO Y AXIE INFINITY
 10 $AXS <U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384>

PARA PARTICIPAR: 
<U+2705>SEGUIRME 
<U+2705>SEGUIR @AxieInfini…",FALSE,0,NA,2021-12-26 23:25:22,FALSE,NA,"1475246389466697732",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","andry_5",863,TRUE,FALSE,NA,NA
"RT @gocholive: SORTEO FIN DE AÑO CON GOCHO Y AXIE INFINITY
 10 $AXS <U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384>

PARA PARTICIPAR: 
<U+2705>SEGUIRME 
<U+2705>SEGUIR @AxieInfini…",FALSE,0,NA,2021-12-26 23:25:05,FALSE,NA,"1475246317706305537",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","paneque_eddy",863,TRUE,FALSE,NA,NA
"Top 10 #Cryptocurrency Live Prices: 
(06:25 PM . Dec 26,2021)

#BTC $50770.85
#ETH $4073.52
#BNB $546.86
#DOGE $0.1… https://t.co/RfntBNNNCv",FALSE,1,NA,2021-12-26 23:25:00,TRUE,NA,"1475246295136841740",NA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Cryptocurrency Live Prices</a>","dll_io",0,FALSE,FALSE,NA,NA
"RT @cagyjan1: Good Morning <U+2600><U+FE0F> 

The juice continues <U+2615><U+FE0F>

1 $axs will be handed out! 

<U+0001F91D>rules
follow @cagyjan1
sub to https://t.co/wozTsXsAeY…",FALSE,0,NA,2021-12-26 23:24:49,FALSE,NA,"1475246252287840257",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","trippybrainzz",397,TRUE,FALSE,NA,NA
"BTC Sentiment (Price $50800)

What's next for BTC?

$ETH $XRP $LINK $ADA $UNI $AAPL $TSLA $AMZN $SPY $QQQ $DOGE… https://t.co/Rk9jZZ4CmQ",FALSE,2,NA,2021-12-26 23:24:32,TRUE,NA,"1475246177566216196",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","virtuecapital1",0,FALSE,FALSE,NA,NA
"RT @freddy_atlanta: <U+0001F9A9> TONIGHT <U+0001F9A9>
————————
8:00 Doors
8:15-8:45 Smash Bros Tournament
9:00-10:00 Ian Ewing
10:15-11:45 Flamingosis
————————
<U+0001F3AB>…",FALSE,0,NA,2021-12-26 23:24:19,FALSE,NA,"1475246124541747200",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TheJournalist88",5,TRUE,FALSE,NA,NA
"#Cryptocurrency Hot in Futures

$DOT <U+0001F7E2><U+0001F7E2><U+0001F7E2><U+0001F7E2><U+0001F7E2> $31.31
$ICP <U+0001F7E1><U+0001F7E1><U+0001F7E1><U+0001F7E1><U+0001F7E1> $26.63
$AXS <U+0001F7E2><U+0001F7E2><U+0001F7E2><U+0001F7E2><U+0001F7E2> $107.75
$KSM <U+0001F7E2><U+0001F7E2><U+0001F7E2><U+0001F7E2><U+0001F7E2> $323.10
$DYDX <U+0001F7E2><U+0001F7E2><U+0001F7E2>… https://t.co/o73EqHq3jq",FALSE,0,NA,2021-12-26 23:24:10,TRUE,NA,"1475246088445743108",NA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">cointradestop</a>","quant_coin",0,FALSE,FALSE,NA,NA
"Swing <U+0001F6A5>

$VET <U+0001F7E1> $0.09
$ICP <U+0001F7E1> $26.63
$ATOM <U+0001F7E2> $31.70
$FTT <U+0001F7E1> $42.64
$FIL <U+0001F7E2> $37.11
$ETC <U+0001F7E2> $37.90
$AXS <U+0001F7E2> $107.75
$TRX <U+0001F7E1>… https://t.co/RfxkCPuGWx",FALSE,0,NA,2021-12-26 23:24:05,TRUE,NA,"1475246066966614022",NA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">cointradestop</a>","quant_coin",0,FALSE,FALSE,NA,NA
"RT @gocholive: SORTEO FIN DE AÑO CON GOCHO Y AXIE INFINITY
 10 $AXS <U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384>

PARA PARTICIPAR: 
<U+2705>SEGUIRME 
<U+2705>SEGUIR @AxieInfini…",FALSE,0,NA,2021-12-26 23:23:49,FALSE,NA,"1475246000189349889",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alvnrdbldo",863,TRUE,FALSE,NA,NA
"$ADIDAS $200m mcap next week. Book it.
HOLD to get #NFT #Airdrop

0x00000006e55A9364b657E3b91Cd0411B4fD11aC2
$shib… https://t.co/3RmpSQ7Iiz",FALSE,0,NA,2021-12-26 23:23:06,TRUE,NA,"1475245816478588932",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ahmedkhalil6644",0,FALSE,FALSE,NA,NA
